,lat,temp,humidity,wind_speed,cloudiness,city_name
364,73.51,-16.65,89,12.06,44,Dikson
365,10.09,21.0,73,3.6,0,Miramar
366,29.04,10.53,64,0.56,100,Yining
367,33.19,10.0,82,1.5,1,Avera
368,54.81,-6.68,69,2.76,80,Zhigalovo
369,18.04,23.0,83,1.11,40,San Lazaro
370,-33.68,20.1,85,3.81,100,San Pedro
371,-13.19,20.8,94,1.31,12,Ambilobe
372,7.32,11.6,62,2.01,8,Ngaoundere
373,-19.79,21.08,100,3.21,92,Charagua
374,49.52,-8.45,100,3.21,80,Moshny
375,50.27,-21.7,50,0.91,56,Ust-Koksa
376,-22.12,15.18,100,2.91,80,Henties Bay
377,4.89,10.38,79,0.36,0,Yabelo
378,53.74,-26.78,67,1.31,0,Zeya
379,-45.87,9.05,90,2.86,100,Dunedin
380,58.81,-20.0,83,1.11,75,Fort Nelson
381,40.59,4.0,100,1.0,0,Ozieri
382,-0.61,25.53,100,6.06,88,Salinopolis
383,71.98,-32.73,41,8.06,20,Khatanga
384,61.92,-10.38,100,10.61,76,Evensk
385,-14.9,22.95,100,4.06,92,Antalaha
386,26.63,22.28,100,3.31,0,High Rock
387,50.71,7.0,100,4.6,92,Yarmouth
388,-16.7,28.45,100,2.06,44,Fare
389,-25.39,24.33,87,3.86,56,Doctor Juan Manuel Frutos
390,16.95,24.08,91,3.16,48,Cabatuan
391,38.09,-1.1,60,4.1,1,Lamar
392,49.72,-2.0,79,4.6,90,Geraldton
393,-15.19,21.7,100,3.11,56,Namibe
394,-32.25,14.23,60,1.46,8,Graaff-Reinet
395,-30.17,21.35,93,5.21,76,Cidreira
396,35.73,11.0,43,1.0,20,Hasaki
397,35.63,3.48,50,1.41,80,Houma
398,-21.04,25.8,74,1.81,8,Fuerte Olimpo
399,4.89,25.1,100,2.86,0,Takoradi
400,18.11,17.48,91,1.86,0,Loma Bonita
401,3.52,12.8,53,1.41,0,Moyale
402,33.63,12.0,46,4.6,20,Miyako
403,38.88,5.6,69,2.71,1,Hays
404,28.22,-4.15,62,1.21,0,Khash
405,39.28,3.0,85,2.1,75,Kamaishi
406,39.94,3.35,31,1.71,0,Qinhuangdao
407,31.35,14.0,82,5.1,40,Marsa Matruh
408,45.52,11.1,76,4.6,75,Portland
409,55.84,-13.0,92,2.06,90,Kozlovka
410,71.03,-9.33,100,2.56,0,Mehamn
411,55.15,-29.38,56,1.91,0,Tynda
412,30.3,12.0,74,1.96,90,Harper
413,21.06,17.05,94,2.36,32,Bhadrak
414,-41.05,16.28,98,8.06,68,Burnie
415,-23.65,17.0,82,4.1,90,Antofagasta
416,-3.66,29.23,100,1.76,20,Namatanai
417,12.47,16.28,52,2.16,0,Dedougou
418,42.73,0.48,100,11.51,12,Vrangel
419,8.0,22.93,100,1.51,76,Marawi
420,4.14,27.2,100,1.51,36,Meulaboh
421,-33.18,31.0,33,6.7,0,Port Pirie
422,3.17,23.05,98,1.06,92,Camopi
423,56.21,1.0,100,4.6,92,Ronneby
424,-10.75,20.38,100,4.31,0,Barranca
425,5.33,24.0,100,1.46,75,Kuala Terengganu
426,-25.98,23.03,91,1.26,32,Coronel Vivida
427,46.16,-1.0,92,0.5,90,Krapina
428,17.62,17.23,90,4.61,76,Mahbubabad
429,-0.86,28.53,100,4.71,76,Sorong
430,-41.43,18.0,63,1.5,90,Launceston
431,-13.61,17.63,100,1.16,92,Mkushi
432,41.89,3.0,80,1.5,0,Rome
433,51.47,0.0,87,4.6,75,Kindersley
434,20.76,23.0,83,1.5,40,Bucerias
435,44.86,3.0,91,3.41,1,River Falls
436,-33.52,18.0,88,6.7,75,Trinidad
437,56.76,-12.53,85,2.61,68,Sovetskiy
438,33.6,6.0,48,1.0,0,Tabas
439,-2.54,29.18,73,1.16,68,Labuhan
440,56.37,-5.9,72,4.76,88,Shitkino
441,66.42,-28.95,54,2.96,44,Udachnyy
442,64.84,-17.8,84,1.31,90,Fairbanks
443,-0.9,26.18,59,0.71,64,Palu
444,37.73,15.0,62,3.1,40,Ponta Delgada
445,66.4,-21.88,57,1.76,20,Storforshei
446,50.56,-4.58,83,4.96,20,Husavik
447,50.72,2.0,74,5.7,0,Rudolstadt
448,-2.02,27.03,100,2.61,68,Lorengau
449,-21.53,15.0,100,1.5,90,Tarija
450,-22.95,15.0,93,2.1,8,Walvis Bay
451,63.45,-29.8,62,2.96,12,Verkhnevilyuysk
452,-0.39,14.0,100,1.0,75,San Cristobal
453,55.34,7.8,89,11.8,90,Ketchikan
454,34.7,14.0,41,6.7,75,Shimoda
455,-2.58,26.28,85,0.86,80,Solo
456,45.23,0.7,100,10.76,68,Kurilsk
457,-29.46,35.0,30,5.1,8,Moree
458,-2.67,29.13,100,0.11,44,Vanimo
459,-8.75,24.88,60,5.46,0,Belem de Sao Francisco
460,39.48,0.6,81,3.6,1,Mattoon
461,-33.01,12.53,73,1.36,0,Russell
462,50.74,-10.08,87,2.96,76,Romny
463,-17.22,22.28,73,1.51,8,Paracatu
464,34.07,16.7,71,1.5,1,Ontario
465,-20.63,20.7,85,1.51,48,Ponta do Sol
466,-26.39,14.63,73,1.11,0,Diego de Almagro
467,53.6,-8.0,67,6.0,0,Belyy Yar
468,53.57,-10.8,86,1.61,68,Asekeyevo
469,69.49,-29.05,85,10.61,20,Talnakh
470,-8.71,29.0,70,2.6,75,Praya
471,63.83,-2.0,100,4.76,90,Umea
472,4.91,22.0,83,0.96,20,Rosarito
473,36.44,13.0,93,2.1,75,Rodos
474,-38.72,21.35,51,8.06,0,Bahia Blanca
